tag_type,tag,display_de,display_en,is-active
event_type,class,Kursstunde,Class,TRUE
event_type,course,Kurs (Serie),Course,TRUE
event_type,workshop,Workshop,Workshop,TRUE
event_type,intensive,Intensivkurs,Intensive,TRUE
event_type,taster,Schnupperkurs,Taster,TRUE
event_type,practice,Übungsabend,Practice,TRUE
event_type,social,Social Dance,Social,TRUE
event_type,social-tee-dance,Social Dance (Tee Dance),Social (tee dance),TRUE
event_type,party,Party,Party,TRUE
event_type,live-music,Livemusik,Live Music,TRUE
event_type,band-night,Band-Nacht,Band Night,TRUE
event_type,festival,Festival,Festival,TRUE
event_type,exchange,Exchange,Exchange,TRUE
event_type,competition,Wettbewerb,Competition,TRUE
event_type,performance,Performance,Performance,TRUE
event_type,lecture,Vortrag,Lecture,TRUE
